step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,J2_stopped,J2_accumulated_waiting_time,J2_average_speed,J3_stopped,J3_accumulated_waiting_time,J3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.448015367386907,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9557891326513589,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,9.314240927933799,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9107110292523068,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,10.212033607595638,0,0.0,1.0,0,0.0,1.0,0,1.0,0.7647714240353805,0,0.0,1.0,0,0.0,1.0,0,1.0
20.0,0,0.0,0.0,10.28505593423017,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7024664144880474,0,0.0,1.0,0,0.0,1.0,0,0.0
25.0,1,5.0,0.5555555555555556,8.845266668549598,0,0.0,1.0,0,0.0,1.0,1,5.0,0.778553303520962,0,0.0,1.0,0,0.0,1.0,1,5.0
30.0,2,11.0,1.2222222222222223,8.24371768090755,0,0.0,1.0,0,0.0,1.0,2,11.0,0.456471387992456,0,0.0,1.0,0,0.0,1.0,2,11.0
35.0,2,21.0,2.1,9.312982090011436,0,0.0,1.0,0,0.0,1.0,2,21.0,0.6452334691253138,0,0.0,1.0,0,0.0,1.0,2,21.0
40.0,2,31.0,2.8181818181818183,9.224984263430843,0,0.0,1.0,0,0.0,1.0,2,31.0,0.5626950917264922,0,0.0,1.0,0,0.0,1.0,2,31.0
45.0,2,41.0,3.1538461538461537,8.442831398605971,0,0.0,1.0,0,0.0,1.0,2,41.0,0.44250748209791124,0,0.0,1.0,0,0.0,1.0,2,41.0
50.0,2,51.0,3.923076923076923,9.092751394925958,0,0.0,1.0,0,0.0,1.0,2,51.0,0.5726431997508886,0,0.0,1.0,0,0.0,1.0,2,51.0
55.0,4,63.0,4.846153846153846,7.14540360462174,0,0.0,1.0,0,0.0,1.0,4,63.0,0.4138090195924618,0,0.0,1.0,0,0.0,1.0,4,63.0
60.0,5,83.0,5.928571428571429,7.105435217714927,0,0.0,1.0,0,0.0,1.0,5,83.0,0.3858956412507583,0,0.0,1.0,0,0.0,1.0,5,83.0
65.0,5,108.0,8.307692307692308,6.144222638020237,0,0.0,1.0,0,0.0,1.0,5,108.0,0.3039143072527486,0,0.0,1.0,0,0.0,1.0,5,108.0
70.0,7,138.0,9.857142857142858,5.1389819025027075,0,0.0,1.0,0,0.0,1.0,7,138.0,0.2740000330679006,0,0.0,1.0,0,0.0,1.0,7,138.0
75.0,6,168.0,10.5,7.328731752190236,0,0.0,1.0,0,0.0,1.0,6,168.0,0.4535534077088088,0,0.0,1.0,0,0.0,1.0,6,168.0
