step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,J2_stopped,J2_accumulated_waiting_time,J2_average_speed,J3_stopped,J3_accumulated_waiting_time,J3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.695623061973382,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9847747491682732,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,10.39270094531802,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6974875974143346,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,2,5.0,0.5,9.168447817168344,0,0.0,1.0,0,0.0,1.0,2,5.0,0.477669156999665,0,0.0,1.0,0,0.0,1.0,2,5.0
20.0,3,19.0,1.9,8.78407863615908,0,0.0,1.0,0,0.0,1.0,3,19.0,0.49582770121161157,0,0.0,1.0,0,0.0,1.0,3,19.0
25.0,3,34.0,2.8333333333333335,9.464927020246321,0,0.0,1.0,0,0.0,1.0,3,34.0,0.49055867012262433,0,0.0,1.0,0,0.0,1.0,3,34.0
30.0,4,51.0,3.923076923076923,7.99039041571345,0,0.0,1.0,0,0.0,1.0,4,51.0,0.5000448903470684,0,0.0,1.0,0,0.0,1.0,4,51.0
35.0,5,74.0,5.285714285714286,5.839186667397539,0,0.0,1.0,0,0.0,1.0,5,74.0,0.24456593864847676,0,0.0,1.0,0,0.0,1.0,5,74.0
40.0,5,99.0,7.615384615384615,7.176230017148606,0,0.0,1.0,0,0.0,1.0,5,99.0,0.30051694579330757,0,0.0,1.0,0,0.0,1.0,5,99.0
45.0,6,126.0,10.5,3.6269688374055185,0,0.0,1.0,0,0.0,1.0,6,126.0,0.13490026378894127,0,0.0,1.0,0,0.0,1.0,6,126.0
50.0,8,164.0,12.615384615384615,3.3131048425175864,0,0.0,1.0,0,0.0,1.0,8,164.0,0.2535295181486761,0,0.0,1.0,0,0.0,1.0,8,164.0
